DataID,OldID,N_RivID,Continent,Country,Ori_SR,SpeMatrix,RawSeq,Year,Month,Primer,BarcodeRegion,BarcodeLength,SamVolume,SamReps,TotVolume,,ReferDB,RawSeqID,ReAssigned
D027,Ref031,NR027,Europe,Russia,TRUE,TRUE,FALSE,2017,8,Ac16S,16S,330,0.25,6,1.5,D027Ac16S,Custom_db,RS036,no
D027,Ref031,NR027,Europe,Russia,TRUE,TRUE,FALSE,2017,8,Cytb01,CytB,413,0.25,6,1.5,D027Cytb01,Custom_db,RS047,no
D029,Ref034,NR028,Asia,Japan,TRUE,TRUE,FALSE,2017,8,MiFish,12S,170,0.7,1,0.7,D029MiFish,Global_db,,
D030,Ref035,NR092,Oceania,Australia,TRUE,TRUE,FALSE,2013,4,Riaz01,12S,130,1,1,1,D030Riaz01,Global_db,,
D030,Ref035,NR092,Oceania,Australia,TRUE,TRUE,FALSE,2013,4,V16S01,16S,100,1,1,1,D030V16S01,Global_db,,
D031,Ref036,NR029;NR030;NR031;NR032;NR033;NR034;NR035;NR036;NR037;NR038;NR039,Asia,Japan,TRUE,TRUE,FALSE,2014,9,MiFish,12S,170,1,1,1,D031MiFish,Global_db,,
D032,Ref037,NR040,Europe,France,TRUE,TRUE,FALSE,2017,7,Teleo,12S,108,30,2,60,D032Teleo,Custom_db,,
D032,Ref037,NR040,Europe,France,TRUE,TRUE,FALSE,2018,7,Teleo,12S,108,30,2,60,D032Teleo,Custom_db,,
D033,Ref038,NR041,Europe,France,TRUE,TRUE,FALSE,2016,NA,Teleo,12S,108,30,3,90,D033Teleo,Custom_db,,
D035,Ref040,NR042,South_America,Colombia,TRUE,TRUE,FALSE,2019,7,Riaz01,12S,130,42.33,7,296.31,D035Riaz01,Global_db,,
D036,Ref042,NR043;NR044;NR045;NR046;NR047,Oceania,New Zealand,TRUE,TRUE,FALSE,2020,NA,V16S03,16S,80,1,3,3,D036V16S03,Global_db,,
D037,Ref043,NR048,Asia,Japan,TRUE,TRUE,FALSE,2018,10,MiFish,12S,170,0.9,1,0.9,D037MiFish,Global_db,,
D037,Ref043,NR048,Asia,Japan,TRUE,TRUE,FALSE,2018,11,MiFish,12S,170,0.9,1,0.9,D037MiFish,Global_db,,
D037,Ref043,NR048,Asia,Japan,TRUE,TRUE,FALSE,2018,12,MiFish,12S,170,0.9,1,0.9,D037MiFish,Global_db,,
D037,Ref043,NR048,Asia,Japan,TRUE,TRUE,FALSE,2019,1,MiFish,12S,170,0.9,1,0.9,D037MiFish,Global_db,,
D037,Ref043,NR048,Asia,Japan,TRUE,TRUE,FALSE,2019,2,MiFish,12S,170,0.9,1,0.9,D037MiFish,Global_db,,
D037,Ref043,NR048,Asia,Japan,TRUE,TRUE,FALSE,2019,3,MiFish,12S,170,0.9,1,0.9,D037MiFish,Global_db,,
D037,Ref043,NR048,Asia,Japan,TRUE,TRUE,FALSE,2019,4,MiFish,12S,170,0.9,1,0.9,D037MiFish,Global_db,,
D037,Ref043,NR048,Asia,Japan,TRUE,TRUE,FALSE,2019,5,MiFish,12S,170,0.9,1,0.9,D037MiFish,Global_db,,
