ItemID,DataID,N_RivID,N_SiteID,samID,Continent,Country,RefID,RiverName,Primer,Year,Month,Lon,Lat,SR
I002,D001,NR002,S009,I002_S009,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-82.37806614,42.63321672,3
I002,D001,NR002,S010,I002_S010,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-82.37575227,42.61856226,2
I002,D001,NR002,S011,I002_S011,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-82.39117803,42.60930681,2
I002,D001,NR002,S012,I002_S012,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-82.38577901,42.58925333,8
I002,D001,NR002,S013,I002_S013,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-82.39503446,42.58231174,2
I003,D001,NR003,S001,I003_S001,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-82.35801266,42.59542363,4
I003,D001,NR003,S002,I003_S002,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-82.3055651,42.59619492,7
I003,D001,NR003,S003,I003_S003,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-82.2870542,42.59310976,1
I003,D001,NR003,S004,I003_S004,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-82.27085716,42.59619492,6
I003,D001,NR003,S005,I003_S005,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-82.20529771,42.58925333,5
I003,D001,NR003,S006,I003_S006,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-82.1867868,42.5907959,8
I003,D001,NR003,S007,I003_S007,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-82.1435947,42.58925333,3
I003,D001,NR003,S008,I003_S008,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-82.12894023,42.59002461,3
I003,D001,NR003,S009,I003_S009,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-82.05057741,42.60545037,13
I003,D001,NR003,S010,I003_S010,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-82.01664075,42.63938702,4
I003,D001,NR003,S011,I003_S011,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-81.9827041,42.70186132,2
