DataID,N_RivID,N_SiteID,ItemID,Continent,Primer,BarcodeRegion,ReferDB,Lon,Lat,Note
D001,NR003,S013,I003,North_America,PS1,COI,Custom_db,-81.84695748,42.76356433,V1
D001,NR003,S014,I003,North_America,PS1,COI,Custom_db,-81.86292313,42.81863427,V1
D001,NR003,S015,I003,North_America,PS1,COI,Custom_db,-81.83515677,42.84331547,V1
D001,NR003,S016,I003,North_America,PS1,COI,Custom_db,-81.81818845,42.84254418,V1
D001,NR003,S017,I003,North_America,PS1,COI,Custom_db,-81.79042209,42.85642736,V1
D001,NR003,S018,I003,North_America,PS1,COI,Custom_db,-81.77422505,42.86105509,V1
D001,NR003,S019,I003,North_America,PS1,COI,Custom_db,-81.75494286,42.86414024,V1
D001,NR003,S020,I003,North_America,PS1,COI,Custom_db,-81.74722999,42.87493826,V1
D001,NR003,S021,I003,North_America,PS1,COI,Custom_db,-81.71097947,42.88727887,V1
D001,NR003,S022,I003,North_America,PS1,COI,Custom_db,-81.67904816,42.91296274,V1
D001,NR003,S023,I003,North_America,PS1,COI,Custom_db,-81.67750558,42.92453206,V1
D001,NR003,S024,I003,North_America,PS1,COI,Custom_db,-81.6451115,42.93918652,V1
D001,NR003,S025,I003,North_America,PS1,COI,Custom_db,-81.63508476,42.94921326,V1
D001,NR003,S026,I003,North_America,PS1,COI,Custom_db,-81.60114811,42.96232515,V1
D001,NR003,S027,I003,North_America,PS1,COI,Custom_db,-81.57800948,42.97852219,V1
D001,NR003,S028,I003,North_America,PS1,COI,Custom_db,-81.51090746,42.99780438,V1
D001,NR003,S029,I003,North_America,PS1,COI,Custom_db,-81.50242329,43.01168756,V1
D001,NR003,S030,I003,North_America,PS1,COI,Custom_db,-81.48159853,43.0340549,V1
D002,NR058,S001,I004,Asia,MiFish,12S,Global_db,129.195,35.71,V2
D002,NR058,S002,I004,Asia,MiFish,12S,Global_db,129.24,35.93722222,V2
D002,NR058,S003,I004,Asia,MiFish,12S,Global_db,129.2886111,35.99222222,V2
D002,NR058,S004,I004,Asia,MiFish,12S,Global_db,129.3836111,36.03083333,V2
D002,NR059,S001,I005,Asia,MiFish,12S,Global_db,129.1075,35.54777778,V2
D002,NR059,S002,I005,Asia,MiFish,12S,Global_db,129.2311111,35.58527778,V2
D002,NR059,S003,I005,Asia,MiFish,12S,Global_db,129.2938889,35.545,V2
D002,NR059,S004,I005,Asia,MiFish,12S,Global_db,129.3566667,35.54416667,V2
D002,NR060,S001,I006,Asia,MiFish,12S,Global_db,127.6225,35.18833333,V2
D002,NR060,S002,I006,Asia,MiFish,12S,Global_db,127.7263889,35.075,V2
D002,NR060,S003,I006,Asia,MiFish,12S,Global_db,127.7755556,35.03166667,V2
D002,NR060,S004,I006,Asia,MiFish,12S,Global_db,127.7577778,34.96694444,V2
D002,NR061,S001,I007,Asia,MiFish,12S,Global_db,128.4858333,35.38861111,V2
D002,NR061,S002,I007,Asia,MiFish,12S,Global_db,128.7738889,35.34444444,V2
D002,NR061,S003,I007,Asia,MiFish,12S,Global_db,128.9769444,35.29916667,V2
D002,NR061,S004,I007,Asia,MiFish,12S,Global_db,128.9519444,35.12027778,V2
D003,NR004,S001,I008,North_America,Cytb02,CytB,Global_db,-81.16448415,41.34894742,V1
D003,NR004,S002,I008,North_America,Cytb02,CytB,Global_db,-81.678992,41.485641,V1
D003,NR004,S003,I008,North_America,Cytb02,CytB,Global_db,-81.52206712,41.11745937,V1
D003,NR004,S004,I008,North_America,Cytb02,CytB,Global_db,-81.677299,41.444157,V1
D003,NR004,S005,I008,North_America,Cytb02,CytB,Global_db,-81.16733333,41.33803333,V1
D003,NR004,S006,I008,North_America,Cytb02,CytB,Global_db,-81.675583,41.481574,V1
D003,NR004,S007,I008,North_America,Cytb02,CytB,Global_db,-81.23310386,41.27373467,V1
D003,NR004,S008,I008,North_America,Cytb02,CytB,Global_db,-81.15885,41.39693333,V1
D003,NR004,S009,I008,North_America,Cytb02,CytB,Global_db,-81.703449,41.488853,V1
D003,NR004,S010,I008,North_America,Cytb02,CytB,Global_db,-81.56314046,41.14409513,V1
D003,NR004,S011,I008,North_America,Cytb02,CytB,Global_db,-81.22707878,41.27651059,V1
D003,NR004,S012,I008,North_America,Cytb02,CytB,Global_db,-81.15595,41.4125,V1
D003,NR004,S013,I008,North_America,Cytb02,CytB,Global_db,-81.58388,41.181709,V1
D003,NR004,S014,I008,North_America,Cytb02,CytB,Global_db,-81.15888333,41.41858333,V1
D003,NR004,S015,I008,North_America,Cytb02,CytB,Global_db,-81.664195,41.434384,V1
D003,NR004,S016,I008,North_America,Cytb02,CytB,Global_db,-81.20072516,41.30293823,V1
D003,NR004,S017,I008,North_America,Cytb02,CytB,Global_db,-81.15737203,41.38289094,V1
D003,NR004,S018,I008,North_America,Cytb02,CytB,Global_db,-81.21658481,41.28487037,V1
D003,NR004,S019,I008,North_America,Cytb02,CytB,Global_db,-81.666138,41.42701,V1
D003,NR004,S020,I008,North_America,Cytb02,CytB,Global_db,-81.5381261,41.12984237,V1
D003,NR004,S021,I008,North_America,Cytb02,CytB,Global_db,-81.16263611,41.3629835,V1
D003,NR004,S022,I008,North_America,Cytb02,CytB,Global_db,-81.15076667,41.37728333,V1
D003,NR004,S023,I008,North_America,Cytb02,CytB,Global_db,-81.15741667,41.38608333,V1
