ID,DataID,primer,barcode,continent,type,tot.n.seqs,tot.mean.seqs,tot.median.seqs,Species,overlapped,prop.n.seqs,prop.mean.seqs,prop.median.seqs,type2
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Osteochilus melanopleurus,TRUE,0.00391733212909147,0.00558438380635876,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Hypsibarbus vernayi,FALSE,0.00714016846974936,0.0103435874026341,0,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Barbonymus gonionotus,TRUE,0.00929900960326152,0.00980805418335017,0.00290118537702958,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Acanthocobitis botia,FALSE,0.00246132002426214,0.00168062329831529,0,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Clupeichthys goniognathus,FALSE,0.00821480185593672,0.0260043147825809,0,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Pethia stoliczkana,FALSE,0.00237408695612088,0.00154564448068927,0,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Clupeoides borneensis,TRUE,0.00215919573948021,0.00143122710739046,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Labiobarbus lineatus,FALSE,0.00179980259085758,0.00166414808333077,0,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Dermogenys pusilla,TRUE,0.00191451762152302,0.00163260347497218,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Yasuhikotakia lecontei,TRUE,0.00161523018448553,0.0011168694179127,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Solea ovata,FALSE,0.00148579900614585,0.00140144968101442,0,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Yasuhikotakia eos,TRUE,0.00148030261364102,0.00152907441955223,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Mystus cavasius,FALSE,0.00258720514292128,0.0030671208957148,0,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Sikukia gudgeri,FALSE,0.00125477321795874,0.00191749857906942,0,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Rasbora trilineata,FALSE,0.00129555290428493,0.00213595806019724,0,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Barbonymus altus,TRUE,0.00513114835773998,0.00522640085161698,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Pseudohomaloptera leonardi,FALSE,0.000957968022697619,0.000881767954044184,0,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Puntioplites proctozystron,TRUE,0.00345811740046166,0.00541284272946204,0.000522330736310765,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Leptobarbus hoevenii,TRUE,0.000904245218537452,0.00104146234001999,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Henicorhynchus caudimaculatus,TRUE,0.000943251875023382,0.000528071045805002,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Cyprinus carpio,TRUE,0.000812047666843438,0.00107249017135518,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Pangasius pangasius,FALSE,0.000845380627840505,0.00119517576845383,0,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Sundasalanx praecox,FALSE,0.000745736350817358,0.00135130315936992,0,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Trigonostigma espei,FALSE,0.00068048885269544,0.000690779197206405,0,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Homalopteroides smithi,TRUE,0.00066595000800523,0.000918765972047489,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Labiobarbus siamensis,TRUE,0.000905663642409668,0.000977358415958514,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Yasuhikotakia modesta,TRUE,0.00124041167625255,0.0016644726745977,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Gambusia affinis,TRUE,0.000454959457013157,0.000688130104324386,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Pangio anguillaris,TRUE,0.000503540474636542,0.00051066491392387,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Labeo chrysophekadion,TRUE,0.00116417139312096,0.00136588875319162,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Yasuhikotakia morleti,TRUE,0.00031347167575965,0.000362226199607943,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Nemacheilus masyae,FALSE,0.000291308802756281,0.000212694591926072,0,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Clarias batrachus,FALSE,0.000622510776918627,0.000780351191165287,0,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Cyclocheilichthys enoplos,TRUE,0.00052109347005521,0.00135504593708595,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Lycothrissa crocodilus,TRUE,0.0002907768938042,0.000261799494790829,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Notopterus notopterus,TRUE,0.000644673649921996,0.000516850825652122,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Pangio oblonga,FALSE,0.000212586277848315,0.000184288675683747,0,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Barbodes binotatus,FALSE,0.000211167853976099,0.000212961467921405,0,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Anabas testudineus,TRUE,0.00041932155722374,0.000482200352575055,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Cirrhinus molitorella,TRUE,0.00025939426563143,0.000390205143112864,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Pangasianodon hypophthalmus,TRUE,0.000225352092698255,0.000224711077329532,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Hampala macrolepidota,TRUE,0.000565596519045975,0.000739208291709598,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Barbichthys laevis,TRUE,0.000165246381113119,9.55637502496757e-05,0,Overlapped
